County FIPS,Total Population 2055,Affected Population 2055,Total Population 2080,Affected Population 2080,Total Population 2100,Affected Population 2100,
36017,69534.644929,0.000000,80074.906410,0.000000,88507.596495,0.000000,
36019,116052.732043,0.000000,134832.993462,0.000000,149857.848105,0.000000,
36021,87345.789697,392.112040,100721.717417,529.399808,111423.987122,699.361755,
36023,65515.281233,0.000000,74483.421528,0.000000,81659.580750,0.000000,
36025,66133.287201,0.000000,76038.497242,0.000000,83963.493870,0.000000,
36027,436695.398861,331.229336,514341.666570,388.315380,576461.556808,485.323956,
36029,1232810.101088,0.000000,1408669.183780,0.000000,1549766.530469,0.000000,
36031,53478.279484,0.000000,61030.925959,0.000000,67073.103937,0.000000,
36033,67105.941162,0.000000,75835.402186,0.000000,82819.991133,0.000000,
36035,70405.954319,0.000000,78541.893928,0.000000,85063.130940,0.000000,
36037,79948.274315,0.000000,90965.465100,0.000000,99779.217727,0.000000,
36039,68775.875325,382.031820,79896.105846,524.255690,88792.290263,1008.037429,
36041,7315.905175,0.000000,8708.695303,0.000000,9822.927406,0.000000,
36043,83083.980239,0.000000,93373.308477,0.000000,101613.347456,0.000000,
36045,158230.414292,0.000000,180893.717481,0.000000,199026.108976,0.000000,
36047,2882814.125818,974.886357,3093764.497426,1708.313974,3264280.840949,2583.970154,
36049,37751.974439,0.000000,43623.827549,0.000000,48321.310037,0.000000,
36051,89198.347454,0.000000,102274.389251,0.000000,112735.222689,0.000000,
36053,99609.288077,0.000000,114071.377279,0.000000,125641.048640,0.000000,
36055,1052598.119879,0.000000,1224535.450208,0.000000,1362220.103536,0.000000,
36057,58997.510685,0.000000,63962.903649,0.000000,67950.782650,0.000000,
36059,1937169.960222,6989.512091,2267516.754786,19358.100825,2531807.972759,56603.085554,
36061,1906800.091562,123.758834,2087423.956709,734.301969,2233557.461431,1168.570719,
36063,294021.605933,0.000000,337240.355273,0.000000,371835.016204,0.000000,
36065,303730.968140,0.000000,342010.389688,0.000000,372675.728174,0.000000,
36067,651692.928405,0.000000,754370.979414,0.000000,836583.730324,0.000000,
36069,153689.802850,0.000000,179051.929710,0.000000,199341.694066,0.000000,
36071,540056.297192,1421.986310,633450.010760,1760.300657,708191.885080,1844.777468,
36073,57047.107902,0.000000,64855.499911,0.000000,71102.213518,0.000000,
36075,173091.068076,0.000000,201469.922111,0.000000,224174.369662,0.000000,
36077,81018.181057,0.000000,91302.348885,0.000000,99529.834488,0.000000,
36079,151876.484367,83.468564,180786.626277,117.727068,203914.739805,148.371417,
36081,2943356.159364,3697.865487,3336074.149046,8129.741746,3650447.757154,17718.185849,
36083,210887.069253,988.791418,239575.880893,1061.733317,262569.233818,1258.062610,
36085,704045.175699,3249.333140,834575.757288,5404.585411,939007.796286,7233.590940,
36087,486970.042820,737.302009,584331.126128,1156.013769,662226.840355,1717.681209,
36089,147390.317058,0.000000,166696.527754,0.000000,182148.509891,0.000000,
36091,339110.779806,0.000000,405720.137566,0.000000,459007.603120,0.000000,
36093,199434.138427,0.000000,224285.689340,0.000000,244208.615931,0.000000,
36095,44949.400449,0.000000,51790.692907,0.000000,57263.726874,0.000000,
36097,25415.146735,0.000000,29289.105205,0.000000,32388.271981,0.000000,
36099,46683.231028,0.000000,52997.335394,0.000000,58049.196065,0.000000,
