County FIPS,Total Population 2042,Affected Population 2042,Total Population 2059,Affected Population 2059,Total Population 2071,Affected Population 2071,Total Population 2082,Affected Population 2082,Total Population 2091,Affected Population 2091,Total Population 2100,Affected Population 2100,
19013,165975.713617,0.000000,184383.903816,0.000000,197404.510440,0.000000,209355.599518,0.000000,219143.188911,0.000000,228938.194648,0.000000,
19015,29835.695789,0.000000,31699.272722,0.000000,33015.115455,0.000000,34221.527415,0.000000,35208.728155,0.000000,36196.037039,0.000000,
19017,29572.949805,0.000000,32408.660666,0.000000,34410.663142,0.000000,36246.023971,0.000000,37747.800380,0.000000,39249.670016,0.000000,
19019,24821.904781,0.000000,26857.381290,0.000000,28295.328051,0.000000,29614.112652,0.000000,30693.523203,0.000000,31773.252646,0.000000,
19021,23595.473531,0.000000,25334.688873,0.000000,26566.720457,0.000000,27698.637904,0.000000,28626.308808,0.000000,29555.208586,0.000000,
19023,16588.607705,0.000000,17499.234669,0.000000,18142.316933,0.000000,18731.978479,0.000000,19214.532536,0.000000,19697.168765,0.000000,
19025,10051.317511,0.000000,10251.482814,0.000000,10400.235750,0.000000,10540.956840,0.000000,10658.743387,0.000000,10778.617799,0.000000,
19027,24540.079722,0.000000,26536.551238,0.000000,27949.807724,0.000000,29247.633649,0.000000,30310.917994,0.000000,31375.329186,0.000000,
19029,15224.144686,0.000000,15939.528592,0.000000,16452.416319,0.000000,16927.189744,0.000000,17318.450337,0.000000,17711.923169,0.000000,
19031,21875.547868,0.000000,23639.035388,0.000000,24884.389165,0.000000,26026.279884,0.000000,26960.746787,0.000000,27895.365737,0.000000,
19033,53266.774106,0.000000,58074.011130,0.000000,61474.515649,0.000000,64595.840356,0.000000,67152.202892,0.000000,69710.576605,0.000000,
19035,13149.077751,0.000000,13738.149072,0.000000,14156.665963,0.000000,14541.897689,0.000000,14858.058560,0.000000,15174.987447,0.000000,
19037,14066.216178,0.000000,14909.480908,0.000000,15504.726600,0.000000,16050.368484,0.000000,16496.802753,0.000000,16943.237022,0.000000,
19039,10276.647609,0.000000,10805.973138,0.000000,11180.726093,0.000000,11524.901172,0.000000,11806.895318,0.000000,12089.201983,0.000000,
19041,19792.106086,0.000000,21468.360234,0.000000,22655.206832,0.000000,23745.269484,0.000000,24638.430614,0.000000,25532.611590,0.000000,
19043,20181.895585,0.000000,21230.519534,0.000000,21973.782544,0.000000,22656.903305,0.000000,23216.914754,0.000000,23777.790310,0.000000,
